 transaction_id | household_id | store_id | day | trans_time | week_no 
----------------+--------------+----------+-----+------------+---------
    28056936252 |          878 |      366 |  90 |       1930 |      14
    28056940340 |          762 |    31862 |  90 |       1018 |      14
    28056940683 |          762 |    31862 |  90 |       1215 |      14
    28056951116 |          946 |      297 |  90 |       1706 |      14
    28056962150 |         2184 |      362 |  90 |       2122 |      14
    28056971590 |          324 |      367 |  90 |       1154 |      14
    28056974299 |          883 |      367 |  90 |       1650 |      14
    28056975390 |         1084 |      367 |  90 |       1824 |      14
    28056982924 |          325 |      427 |  90 |       1954 |      14
    28056990432 |         2004 |    31782 |  90 |       1128 |      14
    28056991429 |         1001 |    31782 |  90 |       1624 |      14
    28057002616 |         1268 |    31742 |  90 |       2002 |      14
    28057006648 |         1419 |    32004 |  90 |       1723 |      14
    28057007751 |         2194 |    32004 |  90 |       2158 |      14
    28057010698 |         1130 |    31642 |  90 |       1218 |      14
    28057021557 |          682 |      309 |  90 |       1818 |      14
    28057031279 |         1045 |      408 |  90 |       1418 |      14
    28057032624 |         1166 |      408 |  90 |       2117 |      14
    28057043837 |         2208 |      441 |  90 |       1409 |      14
    28057044907 |          253 |      441 |  90 |       1916 |      14
    28057050705 |         1609 |      412 |  90 |       1023 |      14
    28057051300 |          569 |      412 |  90 |       1205 |      14
    28057065425 |         1454 |      372 |  90 |        838 |      14
    28057069205 |         2260 |      372 |  90 |       1853 |      14
    28057076820 |          900 |      330 |  90 |       1557 |      14
    28057077477 |         2217 |      330 |  90 |       1746 |      14
    28057077541 |         2217 |      330 |  90 |       1753 |      14
    28057078472 |          900 |      330 |  90 |       2055 |      14
    28057090237 |          742 |      445 |  90 |        934 |      14
    28057090488 |         1829 |      445 |  90 |       1124 |      14
    28057092629 |          742 |      445 |  90 |       2053 |      14
    28057092819 |         1169 |      445 |  90 |       2207 |      14
    28057096054 |          755 |      442 |  90 |       1409 |      14
    28057100310 |         1461 |      316 |  90 |        913 |      14
    28057108180 |          243 |      323 |  90 |       1926 |      14
    28057116971 |         1778 |      429 |  90 |       1724 |      14
    28057120484 |          518 |      327 |  90 |       1101 |      14
    28057120603 |          383 |      327 |  90 |       1146 |      14
    28057120941 |          208 |      327 |  90 |       1323 |      14
    28057127728 |          895 |      388 |  90 |       1852 |      14
    28057128113 |          235 |      388 |  90 |       2038 |      14
    28057141927 |          607 |      432 |  90 |       2231 |      14
    28057161437 |           71 |      311 |  90 |       1647 |      14
    28057161872 |         2148 |      311 |  90 |       1840 |      14
    28057166230 |         2445 |      315 |  90 |       1552 |      14
    28057166880 |         2445 |      315 |  90 |       1808 |      14
    28057167462 |         2224 |      315 |  90 |       2037 |      14
    28057172236 |          523 |      406 |  90 |       1559 |      14
    28057173537 |         2328 |      406 |  90 |       1849 |      14
    28057177321 |          390 |      447 |  90 |       2044 |      14
    28057185060 |         2318 |      381 |  90 |        333 |      14
    28057185138 |         1653 |      381 |  90 |        629 |      14
    28057185864 |          548 |      381 |  90 |       1213 |      14
    28057186074 |         2266 |      381 |  90 |       1259 |      14
    28057186923 |         1653 |      381 |  90 |       1615 |      14
    28057187091 |         1653 |      381 |  90 |       1646 |      14
