 household_id | store_id 
--------------+----------
         1001 |     3131
         1001 |    31782
         1003 |      295
         1003 |      330
         1004 |      292
         1004 |      316
         1004 |      319
         1004 |      372
         1004 |      381
         1004 |      384
         1004 |      412
         1004 |      421
         1004 |      445
         1012 |    34280
         1012 |      361
         1012 |      429
          101 |      292
          101 |    32004
          101 |      343
         1014 |      289
         1014 |      313
         1014 |      318
         1014 |      321
         1014 |      360
          101 |      438
         1014 |      403
          101 |      441
         1014 |      439
         1015 |      321
         1015 |      403
         1018 |      296
         1018 |    31782
         1018 |      330
         1018 |      401
         1018 |      406
         1020 |      319
         1020 |      421
         1020 |      429
         1021 |      368
         1021 |      389
         1021 |      391
         1024 |      292
         1024 |      295
         1024 |    31782
         1024 |      327
         1024 |      330
         1024 |      334
         1024 |      343
         1024 |      441
         1031 |      299
         1031 |      317
         1031 |      375
         1031 |      402
         1031 |      450
         1038 |      295
         1038 |      340
         1038 |      367
         1038 |      381
         1038 |      446
         1040 |      296
         1040 |      298
         1040 |      304
         1040 |      317
         1040 |      324
         1040 |      372
         1040 |      396
         1040 |      401
         1040 |      402
         1040 |      432
         1040 |      438
         1040 |      442
         1040 |      450
         1041 |      297
         1041 |      316
         1041 |      319
         1041 |    32004
         1041 |      337
         1041 |      343
         1041 |      372
         1041 |      380
         1041 |      381
         1041 |      412
         1041 |      445
         1041 |      446
         1042 |      215
         1042 |     2786
         1042 |    31862
         1042 |      354
         1042 |      368
         1042 |      389
         1042 |      391
         1042 |      414
         1042 |      415
         1042 |      432
         1042 |      443
          104 |    32004
          104 |      384
          104 |      421
          104 |      445
         1045 |     2815
         1045 |     2933
         1045 |     2974
         1045 |      321
         1045 |      333
         1045 |      363
         1045 |      382
         1045 |      408
         1045 |      433
          105 |      298
          105 |      321
         1053 |      298
         1053 |      318
         1053 |      335
         1053 |      356
          105 |      403
         1057 |      296
         1057 |      334
         1057 |      343
         1057 |      367
         1057 |      369
         1057 |      396
         1057 |      402
         1057 |      427
         1057 |      448
         1060 |     2836
         1060 |      315
         1060 |    31762
         1060 |      375
         1060 |      388
         1060 |      574
         1062 |      320
         1062 |      356
         1066 |    33923
         1066 |      364
         1066 |      368
         1069 |    31782
         1069 |      330
         1069 |      401
         1070 |      296
         1070 |      324
         1070 |      327
